Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.004,,,,,,,
Sample Interval,7.68049e-06,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.8771e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8763e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8755e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8748e-02,9.9,10.3,-1.18,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8740e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8732e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8725e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8717e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8709e-02,10.1,9.7,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8702e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8694e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8686e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8679e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8671e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8663e-02,10.1,9.7,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8656e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8648e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8640e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8633e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8625e-02,10.1,10.3,-1.18,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8617e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8610e-02,9.9,10.1,-1.18,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8602e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8594e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8586e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8579e-02,9.9,10.1,-1.22,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8571e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8563e-02,9.9,10.3,-1.18,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8556e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8548e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8540e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8533e-02,10.1,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8525e-02,9.9,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8517e-02,10.1,10.1,-1.22,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8510e-02,9.9,9.7,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8502e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8494e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8487e-02,10.1,10.1,-1.18,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8479e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8471e-02,10.1,10.1,-1.18,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8464e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8456e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8448e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8441e-02,10.1,10.3,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8433e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8425e-02,10.1,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8417e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8410e-02,10.1,10.1,-1.22,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8402e-02,9.9,9.9,-1.22,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8394e-02,10.1,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8387e-02,9.9,9.7,-1.22,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8379e-02,10.1,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8371e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8364e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8356e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8348e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8341e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8333e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8325e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8318e-02,10.1,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8310e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8302e-02,10.1,10.1,-1.18,-1.14,0.04,0.04,-0.02,0.02
-1.8295e-02,10.1,9.7,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8287e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8279e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8272e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8264e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8256e-02,10.1,10.1,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8249e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8241e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.06
-1.8233e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8225e-02,10.1,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.06
-1.8218e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8210e-02,9.9,10.3,-1.14,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8202e-02,9.9,9.9,-1.14,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8195e-02,9.9,10.1,-1.18,-1.14,-0.04,0.04,-0.02,0.02
-1.8187e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8179e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.06
-1.8172e-02,10.1,9.9,-1.14,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8164e-02,10.1,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.06
-1.8156e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8149e-02,10.1,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8141e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8133e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8126e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8118e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8110e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8103e-02,9.9,10.1,-1.18,-1.14,0.04,0.04,-0.02,0.02
-1.8095e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8087e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8080e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8072e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8064e-02,9.9,9.9,-1.14,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8057e-02,10.1,10.1,-1.14,-1.14,-8.9407e-10,0.04,0.02,0.02
-1.8049e-02,9.9,9.9,-1.18,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8041e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8033e-02,10.1,9.9,-1.18,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.8026e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.8018e-02,10.1,9.9,-1.14,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.8010e-02,10.1,10.1,-1.18,-1.1,-8.9407e-10,0.04,-0.02,0.02
-1.8003e-02,10.1,9.9,-1.14,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.7995e-02,9.9,10.3,-1.14,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.7987e-02,9.9,9.9,-1.14,-1.22,-8.9407e-10,-0.04,0.02,-0.06
-1.7980e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.7972e-02,10.1,9.9,-1.14,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.7964e-02,9.9,10.1,-1.18,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.7957e-02,10.1,9.9,-1.14,-1.22,-8.9407e-10,-0.04,-0.02,-0.06
-1.7949e-02,9.9,10.1,-1.14,-1.14,-8.9407e-10,0.04,-0.02,0.02
-1.7941e-02,10.1,9.9,-1.14,-1.22,0.04,-0.04,0.02,-0.06
-1.7934e-02,9.9,10.3,-1.18,-1.14,-8.9407e-10,0.04,0.02,0.02
