




Relative time,Ch1,Ch2
s,V,V
0.03346,-4.0294119,-3.3901963
0.033462,-4.0637256,-3.3843139
0.033464,-3.9754903,-3.3872551
0.033466,-3.9901962,-3.3803924
0.033468,-4.1519609,-3.3676473
0.03347,-4.147059,-3.37451
0.033472,-3.9411766,-3.3647061
0.033474,-4.1274511,-3.3725492
0.033476,-4.0490198,-3.379412
0.033478,-4.1323531,-3.3823531
0.03348,-4.2156864,-3.379412
0.033482,-4.1225492,-3.3705884
0.033484,-4.137255,-3.3803924
0.033486,-4.1568629,-3.3754904
0.033488,-4.1568629,-3.3686277
0.03349,-4.1960786,-3.3705884
0.033492,-4.269608,-3.379412
0.033494,-4.2156864,-3.3764708
0.033496,-4.2058825,-3.3823531
0.033498,-4.2892158,-3.3637257
0.0335,-4.2450982,-3.3686277
0.033502,-4.2254903,-3.3705884
0.033504,-4.3480394,-3.3715688
0.033506,-4.2401962,-3.3656865
0.033508,-4.1666668,-3.3676473
0.03351,-4.3431374,-3.3666669
0.033512,-4.3186276,-3.3656865
0.033514,-4.392157,-3.3774512
0.033516,-4.3480394,-3.3578433
0.033518,-4.2892158,-3.3558826
0.03352,-4.4852943,-3.3735296
0.033522,-4.3529413,-3.3686277
0.033524,-4.3872551,-3.3754904
0.033526,-4.4411766,-3.3637257
0.033528,-4.3823531,-3.3617649
0.03353,-4.3774511,-3.369608
0.033532,-4.5098041,-3.369608
0.033534,-4.4901962,-3.3578433
0.033536,-4.4705884,-3.3725492
0.033538,-4.397059,-3.3647061
0.03354,-4.4950982,-3.3558826
0.033542,-4.5637257,-3.3539218
0.033544,-4.4901962,-3.3705884
0.033546,-4.4754904,-3.3558826
0.033548,-4.4901962,-3.3656865
0.03355,-4.4803923,-3.3686277
0.033552,-4.6323531,-3.3607845
0.033554,-4.5735296,-3.3578433
0.033556,-4.5441178,-3.3549022
0.033558,-4.6666668,-3.3666669
0.03356,-4.6176472,-3.369608
0.033562,-4.6813727,-3.3617649
0.033564,-4.6323531,-3.3637257
0.033566,-4.7156864,-3.3578433
0.033568,-4.7009806,-3.3558826
0.03357,-4.7352943,-3.3480394
0.033572,-4.7107845,-3.3637257
0.033574,-4.6617649,-3.3529414
0.033576,-4.6715688,-3.3588237
0.033578,-4.7352943,-3.3656865
0.03358,-4.7549021,-3.3666669
0.033582,-4.7156864,-3.3656865
0.033584,-4.8039217,-3.3598041
0.033586,-4.9068629,-3.3607845
0.033588,-4.7450982,-3.369608
0.03359,-4.9068629,-3.3686277
0.033592,-4.8186276,-3.3549022
0.033594,-4.8480394,-3.351961
0.033596,-4.9117649,-3.3509806
0.033598,-4.8431374,-3.3588237
0.0336,-4.897059,-3.3598041
0.033602,-4.9803923,-3.3558826
0.033604,-4.9117649,-3.3656865
