




Relative time,Ch1,Ch2
s,V,V
0.016514,-7.4215689,-3.4058826
0.016515,-7.3676473,-3.4029414
0.016516,-7.3946081,-3.4039218
0.016517,-7.3799022,-3.4058826
0.016518,-7.4289218,-3.3960786
0.016519,-7.3406865,-3.4127453
0.01652,-7.4289218,-3.4000002
0.016521,-7.4656865,-3.3980394
0.016522,-7.5024512,-3.397059
0.016523,-7.4975493,-3.3892159
0.016524,-7.4803924,-3.4039218
0.016525,-7.4411767,-3.3960786
0.016526,-7.4558826,-3.4049022
0.016527,-7.5220591,0.53921572
0.016528,-7.5955885,0.40882355
0.016529,-7.6348042,0.38725492
0.01653,-7.4313728,0.38333336
0.016531,-7.3627454,0.3647059
0.016532,-7.3210787,0.35686277
0.016533,-7.5024512,0.34607845
0.016534,-7.9534317,0.35490198
0.016535,-8.3210787,0.33725492
0.016536,-8.536765,0.327451
0.016537,-8.5465689,0.32843139
0.016538,-8.6495101,0.31764708
0.016539,-8.669118,0.31666669
0.01654,-8.7205885,0.3147059
0.016541,-8.659314,0.30882355
0.016542,-8.6397062,0.30490198
0.016543,-8.6176474,0.30098041
0.016544,-8.6446081,0.28725492
0.016545,-8.6421572,0.28725492
0.016546,-8.5857846,0.29411766
0.016547,-8.4240199,-4.0696081
0.016548,-8.156863,-3.5607845
0.016549,-7.6348042,-3.5196081
0.01655,-7.2254905,-3.5147061
0.016551,-6.7916669,-3.5107845
0.016552,-6.4313728,-3.4872551
0.016553,-6.1299022,-3.4950982
0.016554,-5.9926473,-3.4872551
0.016555,-5.8627453,-3.4980394
0.016556,-5.769608,-3.4784316
0.016557,-5.8210786,-3.479412
0.016558,-5.8553924,-3.4735296
0.016559,-5.769608,-3.469608
0.01656,-5.7622551,-3.4656865
0.016561,-5.7598041,-3.4627453
0.016562,-5.7279414,-3.4637257
0.016563,-5.7843139,-3.4500002
0.016564,-5.7401963,-3.4460786
0.016565,-5.779412,-3.4617649
0.016566,-5.7990198,-3.4490198
0.016567,-5.7426473,-3.4529414
0.016568,-5.8921571,-3.4558826
0.016569,-6.0367649,-3.4431375
0.01657,-6.1348041,-3.4362747
0.016571,-6.2500002,-3.4333335
0.016572,-6.4460787,-3.4421571
0.016573,-6.5906865,-3.4333335
0.016574,-6.7598042,-3.4352943
0.016575,-6.904412,-3.4372551
0.016576,-7.036765,-3.6401963
0.016577,-7.2230395,-3.4107845
0.016578,-7.7303924,-3.4274512
0.016579,-8.164216,-3.4186277
0.01658,-8.4730395,-3.4313728
0.016581,-8.2230395,-3.4225492
0.016582,-7.6911767,-3.4313728
0.016583,-7.4142159,-3.4313728
0.016584,-7.3308826,-3.4284316
0.016585,-7.281863,-3.4254904
0.016586,-7.2941179,-3.4029414
0.016587,-7.2377454,-3.4382355
