
Relative time,Ch1,Ch2
s,V,V
0.017723,-11.392157,-3.3127453
0.017724,-11.313726,-3.3117649
0.017725,-11.387255,-3.3117649
0.017726,-11.431373,-3.301961
0.017727,-11.372549,-3.3127453
0.017728,-11.362746,-3.3078433
0.017729,-11.495098,-3.3039218
0.01773,-11.406863,-3.3009806
0.017731,-11.593138,-3.3058825
0.017732,-11.490196,-3.3000002
0.017733,-11.495098,-3.3000002
0.017734,-11.485295,-3.3088237
0.017735,-11.509804,-3.3078433
0.017736,-11.460785,-3.3039218
0.017737,-11.495098,-1.8862746
0.017738,-11.5,0.39313728
0.017739,-11.401961,0.44509807
0.01774,-11.465687,0.43627454
0.017741,-11.357844,0.42549022
0.017742,-10.75,0.41274512
0.017743,-10.985295,0.41470591
0.017744,-11.446079,0.41470591
0.017745,-11.519608,0.40588238
0.017746,-11.372549,0.39803924
0.017747,-11.465687,0.39215689
0.017748,-11.544118,0.38137257
0.017749,-11.411765,0.37549022
0.01775,-11.57353,0.37843139
0.017751,-11.519608,0.37058826
0.017752,-11.534314,0.34803924
0.017753,-11.431373,0.35980394
0.017754,-11.490196,0.35098041
0.017755,-11.431373,0.35392159
0.017756,-11.529412,0.35196081
0.017757,-11.480393,0.34705884
0.017758,-11.470589,0.34313728
0.017759,-11.426471,0.34117649
0.01776,-11.357844,0.34313728
0.017761,-11.142157,0.33627453
0.017762,-10.730393,0.33137257
0.017763,-10.328432,0.32254904
0.017764,-10.191177,0.33137257
0.017765,-10.034314,0.31176472
0.017766,-9.7254905,0.32450982
0.017767,-9.5049023,0.31176472
0.017768,-9.3039219,0.3147059
0.017769,-9.0882356,0.31176472
0.01777,-8.8186278,0.30588237
0.017771,-8.539216,0.30000002
0.017772,-8.539216,-2.4245099
0.017773,-8.2647062,-3.4000002
0.017774,-8.2794121,-3.4500002
0.017775,-8.3431376,-3.4372551
0.017776,-8.2058826,-3.4333335
0.017777,-8.2352944,-3.4362747
0.017778,-8.1960787,-3.42451
0.017779,-8.2009807,-3.4176473
0.01778,-8.2794121,-3.4058826
0.017781,-8.1274513,-3.401961
0.017782,-8.1176473,-3.4000002
0.017783,-8.1176473,-3.3852943
0.017784,-8.1176473,-3.3921571
0.017785,-8.1274513,-3.3911767
0.017786,-8.1127454,-3.3852943
0.017787,-8.0784317,-3.3803924
0.017788,-8.0980395,-3.3656865
0.017789,-8.039216,-3.3774512
0.01779,-8.0490199,-3.3666669
0.017791,-8.0931375,-3.3754904
0.017792,-7.9901964,-3.3578433
0.017793,-8.0049022,-3.3754904
0.017794,-8.1274513,-3.3598041
0.017795,-8.2009807,-3.3705884
0.017796,-8.2941179,-3.351961
0.017797,-8.6176474,-3.351961
0.017798,-8.7794121,-3.347059
0.017799,-9.044118,-3.3500002
0.0178,-9.2156866,-3.3490198
0.017801,-9.3823533,-3.3578433
0.017802,-9.7156866,-3.3588237
0.017803,-9.8529415,-3.3588237
0.017804,-9.9950984,-3.3500002
0.017805,-10.269608,-3.3529414
0.017806,-10.495098,-3.3500002
0.017807,-10.877451,-3.3509806
0.017808,-11.034314,-3.3382355
0.017809,-11.235295,-3.3392159
0.01781,-11.372549,-3.3431375
0.017811,-11.401961,-3.3372551
0.017812,-11.441177,-3.3352943
0.017813,-11.470589,-3.3372551
0.017814,-11.343138,-3.3421571
0.017815,-11.406863,-3.3401963
0.017816,-11.362746,-3.3254904
0.017817,-11.495098,-3.3382355
0.017818,-11.588236,-3.3303924
0.017819,-11.450981,0.2019608
0.01782,-11.509804,0.40980395
0.017821,-11.465687,0.40392159
0.017822,-11.426471,0.41078434
0.017823,-10.872549,0.40784316
0.017824,-10.539216,0.39411767
0.017825,-11.29902,0.38137257
0.017826,-11.455883,0.38725492
0.017827,-11.475491,0.37254904
0.017828,-11.534314,0.35784316
0.017829,-11.401961,0.36078434
0.01783,-11.446079,0.35882355
0.017831,-11.441177,0.3529412
0.017832,-11.431373,0.34607845
0.017833,-11.397059,0.3401961
0.017834,-11.54902,0.34313728
0.017835,-11.460785,0.33431375
0.017836,-11.490196,0.32843139
0.017837,-11.416667,0.32156865
0.017838,-11.392157,0.31960786
0.017839,-11.416667,0.31274512
0.01784,-11.475491,0.30980394
0.017841,-11.357844,0.30392159
0.017842,-10.769608,0.30882355
0.017843,-10.200981,0.30294119
0.017844,-9.8382356,0.29705884
0.017845,-9.6225494,0.28725492
0.017846,-9.2696082,0.27058825
0.017847,-9.0049023,0.28039217
0.017848,-8.7009807,0.27941178
0.017849,-8.6078434,0.27549021
0.01785,-8.3578434,0.27450982
0.017851,-8.1715689,0.26568629
0.017852,-8.1960787,0.2764706
0.017853,-8.0784317,0.26862747
0.017854,-8.0735297,0.26862747
0.017855,-8.0098042,0.26274511
0.017856,-8.1127454,0.26176472
0.017857,-8.1274513,0.26372551
0.017858,-8.0196081,-3.551961
0.017859,-8.0196081,-3.4813728
0.01786,-8.0490199,-3.4872551
0.017861,-8.0000003,-3.4725492
0.017862,-8.0196081,-3.4460786
0.017863,-8.0245101,-3.4627453
0.017864,-8.0049022,-3.447059
0.017865,-7.9901964,-3.4362747
0.017866,-7.9460787,-3.4392159
0.017867,-7.9950983,-3.4392159
0.017868,-7.8872552,-3.4352943
0.017869,-7.8774513,-3.42451
0.01787,-7.8235297,-3.4186277
0.017871,-7.8627454,-3.4186277
0.017872,-7.9509807,-3.4127453
0.017873,-7.8088238,-3.4186277
0.017874,-7.789216,-3.4029414
0.017875,-7.911765,-3.4098041
0.017876,-7.906863,-3.3950982
0.017877,-7.8186277,-3.4058826
0.017878,-7.8725493,-3.4088237
0.017879,-7.8970591,-3.3921571
0.01788,-8.1421572,-3.3872551
0.017881,-8.2156866,-3.3921571
0.017882,-8.5098042,-3.37451
0.017883,-8.6813729,-3.3862747
0.017884,-8.9264709,-3.3813727
0.017885,-9.1764709,-3.3725492
0.017886,-9.4607846,-3.3754904
0.017887,-9.7549023,-3.3774512
0.017888,-9.8431376,-3.3715688
0.017889,-10.132353,-3.3666669
0.01789,-10.34804,-3.379412
0.017891,-10.534314,-3.3627453
0.017892,-10.77451,-3.3735296
0.017893,-11.151961,-3.3656865
0.017894,-11.279412,-3.3607845
0.017895,-11.421569,-3.3666669
0.017896,-11.426471,-3.369608
0.017897,-11.406863,-3.369608
0.017898,-11.382353,-3.3529414
0.017899,-11.328432,-3.3480394
0.0179,-11.495098,-3.3686277
0.017901,-11.392157,-3.3558826
0.017902,-11.416667,0.43137257
0.017903,-11.426471,0.39607845
0.017904,-11.465687,0.377451
0.017905,-11.470589,0.3901961
0.017906,-11.446079,0.36372551
0.017907,-11.441177,0.36372551
0.017908,-11.553922,0.34901963
0.017909,-11.519608,0.34607845
0.01791,-11.544118,0.33529414
0.017911,-11.470589,0.34803924
0.017912,-11.362746,0.32843139
0.017913,-11.495098,0.32941178
0.017914,-11.465687,0.32647061
0.017915,-11.465687,0.30784316
0.017916,-11.411765,0.32156865
0.017917,-11.480393,0.30784316
0.017918,-11.377451,0.30098041
0.017919,-11.441177,0.30490198
0.01792,-11.495098,0.29411766
0.017921,-11.495098,0.28627453
0.017922,-11.514706,0.28529413
0.017923,-11.333334,0.2892157
0.017924,-11.401961,0.28627453
0.017925,-11.436275,0.28235296
0.017926,-11.102942,0.27058825
0.017927,-10.156863,0.27254904
0.017928,-9.7254905,0.27843139
0.017929,-9.4705886,0.27352943
0.01793,-9.3333337,0.26274511
0.017931,-9.2156866,0.2647059
0.017932,-8.911765,0.26764707
0.017933,-8.7156866,0.26078433
0.017934,-8.5049023,0.25392158
0.017935,-8.2696081,0.25784315
0.017936,-8.1372552,0.24705884
0.017937,-8.0490199,0.25490198
0.017938,-8.029412,0.25294119
0.017939,-8.0686277,0.24509805
0.01794,-7.9264709,0.25490198
0.017941,-7.9656866,-3.229412
0.017942,-7.9754905,-3.4941179
0.017943,-7.9411768,-3.4892159
0.017944,-7.9460787,-3.4931375
0.017945,-7.9313728,-3.4774512
0.017946,-7.8431375,-3.4754904
0.017947,-7.8480395,-3.4666669
0.017948,-7.8627454,-3.4725492
0.017949,-7.9362748,-3.4568629
0.01795,-7.8088238,-3.4421571
0.017951,-7.8186277,-3.451961
0.017952,-7.8186277,-3.4411767
0.017953,-7.8186277,-3.4382355
0.017954,-7.6666669,-3.4450982
0.017955,-7.7990199,-3.4274512
0.017956,-7.7009807,-3.4431375
0.017957,-7.7500003,-3.4352943
0.017958,-7.784314,-3.4254904
0.017959,-7.7303924,-3.4225492
0.01796,-7.7450983,-3.4303924
0.017961,-7.7058826,-3.4137257
0.017962,-7.6813728,-3.4137257
0.017963,-7.6715689,-3.4127453
0.017964,-8.0833336,-3.4166669
0.017965,-8.2696081,-3.4127453
0.017966,-8.4803925,-3.4107845
0.017967,-8.661765,-3.4029414
0.017968,-8.7205885,-3.4068629
0.017969,-8.9068631,-3.4098041
0.01797,-9.0931376,-3.4049022
0.017971,-9.4019611,-3.4009806
0.017972,-9.671569,-3.3950982
0.017973,-10.058824,-3.3990198
0.017974,-10.313726,-3.397059
0.017975,-10.715687,-3.3921571
0.017976,-11.034314,-3.3833335
0.017977,-11.338236,-3.3813727
0.017978,-11.34804,-3.3931375
0.017979,-11.352942,-3.3833335
0.01798,-11.421569,-3.3784316
0.017981,-11.485295,-3.3833335
0.017982,-11.450981,-3.3754904
0.017983,-11.32353,-3.3813727
0.017984,-11.490196,-3.3705884
0.017985,-11.392157,0.43627454
0.017986,-11.558824,0.38333336
0.017987,-11.495098,0.35980394
0.017988,-11.357844,0.34705884
0.017989,-11.455883,0.35392159
0.01799,-11.333334,0.3401961
0.017991,-11.480393,0.32647061
0.017992,-11.504902,0.32058825
0.017993,-11.470589,0.31862747
0.017994,-11.377451,0.30784316
0.017995,-11.441177,0.31568629
0.017996,-11.34804,0.29705884
0.017997,-11.436275,0.3019608
0.017998,-11.411765,0.29313727
0.017999,-11.5,0.29607845
0.018,-11.455883,0.29215688
0.018001,-11.421569,0.28529413
0.018002,-11.480393,0.26862747
0.018003,-11.411765,0.277451
0.018004,-11.411765,0.27058825
0.018005,-11.416667,0.27450982
0.018006,-11.421569,0.27058825
0.018007,-11.406863,0.26764707
0.018008,-11.328432,0.25980394
0.018009,-10.519608,0.25686276
0.01801,-9.8872553,0.24901962
0.018011,-9.539216,0.24705884
0.018012,-9.1323533,0.24509805
0.018013,-8.8137258,0.23431374
0.018014,-8.6029415,0.24411766
0.018015,-8.2990199,0.23725492
0.018016,-8.0539219,0.23431374
0.018017,-7.8333336,0.22450982
0.018018,-7.8970591,0.2392157
0.018019,-7.9019611,0.2392157
0.01802,-7.8578434,0.22352942
0.018021,-7.789216,0.21568629
0.018022,-7.8627454,0.21862746
0.018023,-7.789216,0.21176472
0.018024,-7.8235297,0.22156864
0.018025,-7.8921571,-3.0539217
0.018026,-7.8921571,-3.5303924
0.018027,-7.7647062,-3.5225492
0.018028,-7.6715689,-3.5186277
0.018029,-7.789216,-3.5029414
0.01803,-7.7303924,-3.5009806
0.018031,-7.784314,-3.4813728
0.018032,-7.6960787,-3.4941179
0.018033,-7.7500003,-3.4931375
0.018034,-7.6666669,-3.4892159
0.018035,-7.7352944,-3.4774512
0.018036,-7.7450983,-3.4784316
0.018037,-7.5833336,-3.4617649
0.018038,-7.534314,-3.4656865
0.018039,-7.6176473,-3.4637257
0.01804,-7.5490199,-3.4490198
0.018041,-7.7205885,-3.4490198
0.018042,-7.656863,-3.4352943
0.018043,-7.6029414,-3.4343139
0.018044,-7.534314,-3.4343139
0.018045,-7.5245101,-3.4431375
0.018046,-7.5000003,-3.4421571
0.018047,-7.7009807,-3.429412
0.018048,-7.8872552,-3.4352943
0.018049,-8.0245101,-3.4205884
0.01805,-8.2794121,-3.4225492
0.018051,-8.7058827,-3.4235296
0.018052,-8.7500003,-3.42451
0.018053,-9.0049023,-3.42451
0.018054,-9.3627454,-3.4137257
0.018055,-9.6519611,-3.4127453
0.018056,-9.9607847,-3.4107845
0.018057,-10.151961,-3.4098041
0.018058,-10.338236,-3.4068629
0.018059,-10.681373,-3.4078433
0.01806,-10.872549,-3.4088237
0.018061,-11.32353,-3.4068629
0.018062,-11.352942,-3.3990198
0.018063,-11.328432,-3.4009806
0.018064,-11.431373,-3.397059
0.018065,-11.411765,-3.397059
0.018066,-11.401961,-3.4029414
0.018067,-11.5,-0.038235296
0.018068,-11.441177,0.327451
0.018069,-11.504902,0.3401961
0.01807,-11.455883,0.33039218
0.018071,-11.387255,0.32941178
0.018072,-11.490196,0.31372551
0.018073,-11.568628,0.31078433
0.018074,-11.406863,0.30784316
0.018075,-11.357844,0.29215688
0.018076,-11.475491,0.29705884
0.018077,-11.362746,0.2901961
0.018078,-11.480393,0.29313727
0.018079,-11.446079,0.27843139
0.01808,-11.514706,0.27941178
0.018081,-11.490196,0.26764707
0.018082,-11.470589,0.27156864
0.018083,-11.519608,0.27254904
0.018084,-11.485295,0.25686276
0.018085,-11.534314,0.25392158
0.018086,-11.490196,0.2647059
0.018087,-11.490196,0.25392158
0.018088,-11.421569,0.25294119
0.018089,-11.529412,0.24803923
0.01809,-11.465687,0.24705884
0.018091,-10.691177,0.24705884
0.018092,-9.8333337,0.22941178
0.018093,-9.3235297,0.22450982
0.018094,-8.8578435,0.21960786
